"@timestamp","account.email","machine_uuid","activity.game_title","activity.game_id","activity.play_start","activity.play_end","activity.play_duration","activity.1p_buttons","activity.1p_joystick","activity.1p_spinner","activity.2p_buttons","activity.2p_joystick","activity.2p_spinner","log_type","activity.log_at","log.timestamp","log_at"
"Mar 10, 2020 @ 11:17:12.525","atgames.qa+bent@gmail.com",88001911B0019068,"Super Star Wars: Return of the Jedi",431,"Mar 9, 2020 @ 20:32:32.408","Mar 9, 2020 @ 20:42:08.359",576,55,83,729,0,5,394,"game-play",,"Mar 10, 2020 @ 11:17:12.495","Mar 9, 2020 @ 20:42:08.360"
"Mar 10, 2020 @ 11:17:12.525","atgames.qa+bent@gmail.com",88001911B0019068,"The Lion King",422,"Mar 9, 2020 @ 20:43:11.456","Mar 9, 2020 @ 20:59:19.238",968,618,328,"4,152",0,0,"1,195","game-play",,"Mar 10, 2020 @ 11:17:12.503","Mar 9, 2020 @ 20:59:19.238"
"Mar 10, 2020 @ 11:17:12.525","atgames.qa+bent@gmail.com",88001911B0019068,"Antarctic Adventure ™",240,"Mar 9, 2020 @ 21:01:14.287","Mar 9, 2020 @ 21:03:46.501",152,14,52,174,0,0,140,"game-play",,"Mar 10, 2020 @ 11:17:12.509","Mar 9, 2020 @ 21:03:46.502"
"Mar 10, 2020 @ 11:17:12.525","atgames.qa+bent@gmail.com",88001911B0019068,Aladdin,418,"Mar 9, 2020 @ 21:04:05.471","Mar 9, 2020 @ 21:12:00.280",475,14,9,88,1,0,89,"game-play",,"Mar 10, 2020 @ 11:17:12.516","Mar 9, 2020 @ 21:12:00.281"
"Mar 9, 2020 @ 16:21:06.434","atgames.qa+bent@gmail.com",88001911B0019068,"Tetris® Plus",448,"Mar 9, 2020 @ 01:42:17.775","Mar 9, 2020 @ 02:13:54.540","1,897",150,406,982,94,278,"2,082","game-play",,"Mar 9, 2020 @ 16:21:06.067","Mar 9, 2020 @ 02:13:54.542"
"Mar 6, 2020 @ 10:24:46.431","atgames.qa+bent@gmail.com",88001911B0019068,Aladdin,418,"Mar 5, 2020 @ 19:36:08.823","Mar 5, 2020 @ 20:16:03.836","2,395",5,30,682,3,30,684,"game-play",,"Mar 6, 2020 @ 10:24:45.349","Mar 5, 2020 @ 20:16:03.837"
"Mar 6, 2020 @ 08:11:54.580","atgames.qa+bent@gmail.com",88001911B0019068,"Fix-It Felix, Jr.",413,"Mar 5, 2020 @ 18:09:17.237","Mar 5, 2020 @ 18:11:22.826",125,172,105,823,0,0,167,"game-play",,"Mar 6, 2020 @ 08:11:53.850","Mar 5, 2020 @ 18:11:22.827"
"Mar 6, 2020 @ 08:11:54.580","atgames.qa+bent@gmail.com",88001911B0019068,"The Lion King",422,"Mar 5, 2020 @ 18:11:35.445","Mar 5, 2020 @ 18:11:43.421",8,2,0,3,0,0,3,"game-play",,"Mar 6, 2020 @ 08:11:53.860","Mar 5, 2020 @ 18:11:43.422"
"Mar 6, 2020 @ 07:19:42.216","atgames.qa+bent@gmail.com",88001911B0019068,"Breakout® (2600)",62,"Mar 5, 2020 @ 17:11:45.597","Mar 5, 2020 @ 17:12:06.296",21,5,0,143,1,0,0,"game-play",,"Mar 6, 2020 @ 07:19:41.413","Mar 5, 2020 @ 17:12:06.297"
"Mar 6, 2020 @ 07:19:42.215","atgames.qa+bent@gmail.com",88001911B0019068,"Breakout® (2600)",62,"Mar 5, 2020 @ 17:09:11.917","Mar 5, 2020 @ 17:11:15.133",124,25,2,"1,454",14,4,980,"game-play",,"Mar 6, 2020 @ 07:19:41.404","Mar 5, 2020 @ 17:11:15.134"
"Mar 6, 2020 @ 06:47:19.384","atgames.qa+bent@gmail.com",88001911B0019068,"Asteroids® (2600)",54,"Mar 5, 2020 @ 16:35:06.853","Mar 5, 2020 @ 16:42:06.570",420,2,0,0,0,5,0,"game-play",,"Mar 6, 2020 @ 06:47:18.451","Mar 5, 2020 @ 16:42:06.571"
"Mar 6, 2020 @ 06:47:19.383","atgames.qa+bent@gmail.com",88001911B0019068,"BurgerTime™ (Arcade)",313,"Mar 5, 2020 @ 16:19:18.805","Mar 5, 2020 @ 16:33:57.226",879,155,484,912,9,19,400,"game-play",,"Mar 6, 2020 @ 06:47:18.443","Mar 5, 2020 @ 16:33:57.227"
"Mar 5, 2020 @ 14:29:50.869","atgames.qa+bent@gmail.com",88001911B0019068,"Super Star Wars: Return of the Jedi",431,"Mar 4, 2020 @ 23:43:48.263","Mar 4, 2020 @ 23:53:11.775",563,90,245,415,14,24,"1,217","game-play",,"Mar 5, 2020 @ 14:29:49.962","Mar 4, 2020 @ 23:53:11.776"
"Mar 5, 2020 @ 14:29:50.869","atgames.qa+bent@gmail.com",88001911B0019068,"The Lion King",422,"Mar 4, 2020 @ 23:53:25.327","Mar 5, 2020 @ 00:01:32.920",487,231,400,"1,764",0,0,"1,202","game-play",,"Mar 5, 2020 @ 14:29:49.970","Mar 5, 2020 @ 00:01:32.921"
"Mar 5, 2020 @ 14:29:50.869","atgames.qa+bent@gmail.com",88001911B0019068,"Realsports® Volleyball (2600)",105,"Mar 5, 2020 @ 00:03:59.639","Mar 5, 2020 @ 00:06:33.716",154,9,203,538,31,0,"2,001","game-play",,"Mar 5, 2020 @ 14:29:49.976","Mar 5, 2020 @ 00:06:33.717"
"Mar 5, 2020 @ 14:29:50.869","atgames.qa+bent@gmail.com",88001911B0019068,Aladdin,418,"Mar 5, 2020 @ 00:06:57.367","Mar 5, 2020 @ 00:10:57.729",240,114,149,"2,169",0,0,"1,373","game-play",,"Mar 5, 2020 @ 14:29:49.983","Mar 5, 2020 @ 00:10:57.730"
"Mar 5, 2020 @ 14:29:50.869","atgames.qa+bent@gmail.com",88001911B0019068,"Super Star Wars: Return of the Jedi",431,"Mar 5, 2020 @ 00:11:05.879","Mar 5, 2020 @ 00:19:30.411",505,106,497,"1,145",13,2,"3,334","game-play",,"Mar 5, 2020 @ 14:29:49.990","Mar 5, 2020 @ 00:19:30.412"
"Mar 5, 2020 @ 14:29:50.869","atgames.qa+bent@gmail.com",88001911B0019068,"Fix-It Felix, Jr.",413,"Mar 5, 2020 @ 00:19:47.015","Mar 5, 2020 @ 00:22:42.875",175,116,134,980,19,73,654,"game-play",,"Mar 5, 2020 @ 14:29:49.998","Mar 5, 2020 @ 00:22:42.876"
"Mar 5, 2020 @ 14:29:50.869","atgames.qa+bent@gmail.com",88001911B0019068,"3-D Tic-Tac-Toe (2600)",48,"Mar 5, 2020 @ 00:23:19.983","Mar 5, 2020 @ 00:24:13.743",54,12,41,41,36,1,0,"game-play",,"Mar 5, 2020 @ 14:29:50.005","Mar 5, 2020 @ 00:24:13.743"
